iter	Passed	Remaining
476	629	690
477	630	688
478	631	686
479	632	685
480	633	683
481	634	681
482	635	679
483	636	678
484	636	676
485	637	674
486	638	672
487	639	671
488	640	669
489	641	667
490	642	665
491	643	664
492	643	662
493	644	660
494	645	658
495	646	657
496	647	655
497	648	653
498	649	651
499	649	649
500	650	648
501	651	646
502	652	644
503	653	643
504	654	641
505	655	639
506	655	637
507	656	636
508	657	634
509	658	632
510	659	630
511	660	629
512	661	628
513	662	626
514	663	624
515	664	623
516	665	621
517	666	619
518	667	618
519	668	616
520	668	614
521	669	613
522	670	611
523	671	609
524	672	608
525	673	606
526	674	604
527	674	603
528	675	601
529	676	599
530	677	598
531	678	596
532	679	595
533	680	593
534	680	591
535	681	590
536	682	588
537	683	586
538	683	584
539	684	583
540	685	581
541	686	580
542	687	578
543	688	577
544	689	575
545	690	574
546	691	572
547	692	571
548	693	569
549	694	568
550	695	566
551	696	565
552	697	563
553	698	562
554	699	560
555	699	558
556	700	557
557	701	555
558	702	554
559	703	552
560	704	551
561	705	549
562	706	548
563	707	546
564	708	545
565	709	543
566	710	542
567	711	540
568	711	539
569	712	537
570	713	536
571	714	534
572	715	532
573	716	531
574	717	530
575	718	528
576	719	527
577	720	525
578	721	524
579	722	522
580	723	521
581	724	520
582	724	518
583	725	516
584	726	515
585	727	513
586	728	512
587	729	510
588	730	509
589	731	508
590	732	506
591	733	505
592	733	503
593	734	502
594	735	500
595	736	499
596	737	497
597	738	496
598	738	494
599	739	493
600	740	491
601	741	490
602	742	488
603	743	487
604	744	486
605	745	484
606	746	483
607	746	481
608	747	480
609	748	478
610	749	477
611	750	475
612	751	474
613	752	472
614	752	471
615	753	469
616	754	468
617	755	467
618	756	465
619	757	464
620	758	462
621	759	461
622	760	460
623	761	458
624	762	457
625	763	456
626	764	454
627	765	453
628	766	451
629	766	450
630	767	449
631	768	447
632	769	446
633	770	444
634	771	443
635	772	442
636	773	440
637	774	439
638	775	438
639	776	436
640	777	435
641	778	434
642	779	432
643	780	431
644	781	430
645	782	428
646	783	427
647	784	426
648	785	424
649	786	423
650	787	422
651	788	420
652	789	419
653	790	418
654	790	416
655	791	415
656	792	413
657	793	412
658	794	411
659	795	409
660	796	408
661	797	407
662	798	405
663	799	404
664	800	403
665	801	401
666	801	400
667	802	398
668	803	397
669	804	396
670	805	394
671	806	393
672	807	392
673	808	390
674	809	389
675	809	388
676	810	386
677	811	385
678	812	384
679	813	382
680	814	381
681	815	380
682	815	378
683	816	377
684	818	376
685	818	374
686	819	373
687	820	372
688	821	370
689	821	369
690	822	367
691	823	366
692	824	365
693	825	364
694	826	362
695	827	361
696	827	359
697	828	358
698	830	357
699	833	357
700	835	356
701	837	355
702	839	354
703	841	353
704	843	353
705	845	352
706	847	351
707	849	350
708	851	349
709	853	348
710	855	347
711	857	346
712	859	345
713	862	345
714	863	344
715	866	343
716	868	342
717	870	341
718	873	341
719	876	340
720	878	339
721	880	339
722	882	338
723	885	337
724	887	336
725	889	335
726	892	335
727	894	334
728	896	333
729	898	332
730	900	331
731	902	330
732	905	329
733	907	328
734	909	327
735	911	326
736	913	325
737	915	324
738	918	324
739	920	323
740	922	322
741	924	321
742	925	320
743	927	319
744	930	318
745	932	317
746	934	316
747	936	315
748	938	314
749	940	313
750	942	312
751	944	311
752	946	310
753	949	309
754	951	308
755	953	307
756	955	306
757	957	305
758	959	304
759	961	303
760	962	302
761	964	301
762	966	300
763	969	299
764	971	298
765	973	297
766	976	296
767	978	295
768	980	294
769	982	293
770	984	292
771	986	291
772	989	290
773	991	289
774	992	288
775	994	287
776	995	285
777	997	284
778	999	283
779	1000	282
780	1001	280
781	1003	279
782	1004	278
783	1005	277
784	1006	275
785	1008	274
786	1009	273
787	1010	271
788	1011	270
789	1012	269
790	1013	267
791	1014	266
792	1016	265
793	1017	263
794	1018	262
795	1019	261
796	1020	259
797	1021	258
798	1022	257
799	1023	255
800	1024	254
801	1025	253
802	1026	251
803	1027	250
804	1028	249
805	1029	247
806	1030	246
807	1031	245
808	1032	243
809	1033	242
810	1034	241
811	1035	239
812	1036	238
813	1037	237
814	1038	235
815	1039	234
816	1040	233
817	1041	231
818	1042	230
819	1043	229
820	1044	227
821	1045	226
822	1046	225
823	1048	223
824	1049	222
825	1050	221
826	1051	219
827	1052	218
828	1053	217
829	1054	216
830	1056	214
831	1057	213
832	1058	212
833	1059	210
834	1060	209
835	1061	208
836	1062	207
837	1063	205
838	1064	204
839	1066	203
840	1067	201
841	1068	200
842	1069	199
843	1070	197
844	1071	196
845	1072	195
846	1073	193
847	1074	192
848	1075	191
849	1076	189
850	1077	188
851	1078	187
852	1079	185
853	1080	184
854	1081	183
855	1082	182
856	1083	180
857	1083	179
858	1084	178
859	1085	176
860	1086	175
861	1087	174
862	1088	172
863	1089	171
864	1089	170
865	1090	168
866	1091	167
867	1092	166
868	1093	164
869	1094	163
870	1095	162
871	1096	160
872	1097	159
873	1098	158
874	1099	157
875	1100	155
876	1101	154
877	1102	153
878	1104	152
879	1105	150
880	1106	149
881	1108	148
882	1109	146
883	1110	145
884	1111	144
885	1112	143
886	1113	141
887	1114	140
888	1115	139
889	1116	138
890	1117	136
891	1118	135
892	1119	134
893	1120	132
894	1121	131
895	1121	130
896	1122	128
897	1123	127
898	1124	126
899	1125	125
900	1126	123
901	1127	122
902	1127	121
903	1129	119
904	1129	118
905	1130	117
906	1131	116
907	1132	114
908	1133	113
909	1133	112
910	1134	110
911	1135	109
912	1136	108
913	1137	107
914	1138	105
915	1138	104
916	1139	103
917	1140	101
918	1141	100
919	1142	99
920	1143	98
921	1144	96
922	1144	95
923	1145	94
924	1146	92
925	1147	91
926	1148	90
927	1149	89
928	1150	87
929	1151	86
930	1151	85
931	1152	84
932	1153	82
933	1154	81
934	1155	80
935	1156	79
936	1157	77
937	1158	76
938	1159	75
939	1160	74
940	1161	72
941	1162	71
942	1163	70
943	1164	69
944	1165	67
945	1166	66
946	1167	65
947	1168	64
948	1169	62
949	1170	61
950	1171	60
951	1171	59
952	1172	57
953	1173	56
954	1174	55
955	1175	54
956	1176	52
957	1177	51
958	1178	50
959	1179	49
960	1180	47
961	1180	46
962	1181	45
963	1182	44
964	1183	42
965	1184	41
966	1185	40
967	1186	39
968	1187	37
969	1187	36
970	1188	35
971	1189	34
972	1190	33
973	1190	31
974	1191	30
975	1193	29
976	1193	28
977	1194	26
978	1195	25
979	1196	24
980	1197	23
981	1197	21
982	1199	20
983	1199	19
984	1200	18
985	1201	17
986	1202	15
987	1203	14
988	1204	13
989	1205	12
990	1206	10
991	1207	9
992	1208	8
993	1208	7
994	1209	6
995	1210	4
996	1211	3
997	1212	2
998	1213	1
999	1214	0
